2019-09-21 14:37:08.586 [main] INFO   - Поиск: dcgvh
2019-09-21 14:37:08.623 [main] WARN   - Станция не найдена: dcgvh
2019-09-21 14:37:13.707 [main] INFO   - Поиск: 
2019-09-21 14:37:13.707 [main] WARN   - Станция не найдена: 
2019-09-21 14:37:16.064 [main] INFO   - Поиск: 11111111111
2019-09-21 14:37:16.065 [main] WARN   - Станция не найдена: 11111111111
2019-09-22 21:42:04.709 [main] INFO   - Поиск: gfgfhhknjbhvgvk
2019-09-22 21:42:04.771 [main] WARN   - Станция не найдена: gfgfhhknjbhvgvk
2019-09-22 21:42:07.865 [main] INFO   - Поиск: 
2019-09-22 21:42:07.866 [main] WARN   - Станция не найдена: 
2019-09-22 21:42:10.535 [main] INFO   - Поиск: 111111111
2019-09-22 21:42:10.536 [main] WARN   - Станция не найдена: 111111111
